vehicle,brand,model,category,sales,year,month,source
Toyota RAV4,Toyota,RAV4,bev,63,2014,1,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,58,2014,2,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,71,2014,2,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1210,2014,2,hybridcars.com
Fiat 500e,Fiat,500e,bev,40,2014,2,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,552,2014,2,hybridcars.com
Ford Focus,Ford,Focus,bev,129,2014,2,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,779,2014,2,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,24,2014,2,hybridcars.com
Honda Fit,Honda,Fit,bev,33,2014,2,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,3,2014,2,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1425,2014,2,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,57,2014,2,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,122,2014,2,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,2,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1041,2014,2,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,101,2014,2,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,81,2014,3,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,108,2014,3,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1478,2014,3,hybridcars.com
Fiat 500e,Fiat,500e,bev,166,2014,3,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,610,2014,3,hybridcars.com
Ford Focus,Ford,Focus,bev,177,2014,3,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,899,2014,3,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,18,2014,3,hybridcars.com
Honda Fit,Honda,Fit,bev,37,2014,3,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,24,2014,3,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2507,2014,3,hybridcars.com
