year,month,cpi,date
1976,10,0.23002479023646072,1976-10-01
1976,11,0.23042206966692094,1976-11-01
1976,12,0.23121662852784136,1976-12-01
1977,1,0.23240846681922198,1977-01-01
1977,2,0.23479214340198323,1977-02-01
1977,3,0.23638126112382407,1977-03-01
1977,4,0.2383676582761251,1977-04-01
1977,5,0.23955949656750572,1977-05-01
1977,6,0.24114861428934659,1977-06-01
1977,7,0.2423404525807272,1977-07-01
1977,8,0.24313501144164762,1977-08-01
1977,9,0.243929570302568,1977-09-01
1977,10,0.24472412916348846,1977-10-01
1977,11,0.24591596745486907,1977-11-01
1977,12,0.2467105263157895,1977-12-01
1978,1,0.24829964403763033,1978-01-01
1978,2,0.24988876175947114,1978-02-01
1978,3,0.2518751589117722,1978-03-01
1978,4,0.25386155606407323,1978-04-01
1978,5,0.25624523264683446,1978-05-01
1978,6,0.25902618866005594,1978-06-01
1978,7,0.261012585812357,1978-07-01
1978,8,0.2622044241037376,1978-08-01
1978,9,0.26419082125603865,1978-09-01
1978,10,0.2665744978387999,1978-10-01
1978,11,0.2677663361301806,1978-11-01
1978,12,0.26895817442156117,1978-12-01
1979,1,0.2713418510043224,1979-01-01
1979,2,0.2745200864480041,1979-02-01
1979,3,0.27730104246122556,1979-03-01
1979,4,0.2804792779049072,1979-04-01
1979,5,0.2840547927790491,1979-05-01
1979,6,0.2872330282227307,1979-06-01
1979,7,0.2904112636664124,1979-07-01
1979,8,0.2931922196796339,1979-08-01
1979,9,0.2963704551233155,1979-09-01
1979,10,0.2987541317060768,1979-10-01
1979,11,0.30153508771929827,1979-11-01
1979,12,0.30471332316297994,1979-12-01
1980,1,0.3090833968980422,1980-01-01
1980,2,0.3134534706331045,1980-02-01
1980,3,0.318220823798627,1980-03-01
1980,4,0.3217963386727689,1980-04-01
1980,5,0.32497457411645053,1980-05-01
1980,6,0.32855008899059246,1980-06-01
1980,7,0.32855008899059246,1980-07-01
1980,8,0.3309337655733537,1980-08-01
1980,9,0.33371472158657517,1980-09-01
1980,10,0.3368929570302568,1980-10-01
1980,11,0.33967391304347827,1980-11-01
1980,12,0.34285214848715995,1980-12-01
1981,1,0.3456331045003814,1981-01-01
1981,2,0.3492086193745233,1981-02-01
1981,3,0.35159229595728453,1981-03-01
1981,4,0.35397597254004576,1981-04-01
1981,5,0.35675692855326724,1981-05-01
1981,6,0.3599351639969489,1981-06-01
1981,7,0.363907958301551,1981-07-01
1981,8,0.36668891431477246,1981-08-01
1981,9,0.37026442918891433,1981-09-01
1981,10,0.3710589880498348,1981-10-01
1981,11,0.37225082634121537,1981-11-01
1981,12,0.373442664632596,1981-12-01
1982,1,0.3746345029239766,1982-01-01
1982,2,0.37582634121535724,1982-02-01
1982,3,0.37542906178489704,1982-03-01
1982,4,0.3770181795067379,1982-04-01
1982,5,0.38059369438087975,1982-05-01
1982,6,0.38536104754640227,1982-06-01
1982,7,0.3873474446987033,1982-07-01
1982,8,0.38814200355962375,1982-08-01
1982,9,0.38893656242054414,1982-09-01
1982,10,0.3901284007119248,1982-10-01
1982,11,0.38933384185100434,1982-11-01
1982,12,0.3877447241291635,1982-12-01
1983,1,0.3885392829900839,1983-01-01
1983,2,0.38893656242054414,1983-02-01
1983,3,0.38893656242054414,1983-03-01
1983,4,0.39171751843376557,1983-04-01
1983,5,0.39410119501652685,1983-05-01
1983,6,0.3952930333079075,1983-06-01
1983,7,0.39688215102974833,1983-07-01
1983,8,0.3980739893211289,1983-08-01
1983,9,0.40006038647343,1983-09-01
1983,10,0.4012522247648106,1983-10-01
1983,11,0.40204678362573104,1983-11-01
1983,12,0.4024440630561912,1983-12-01
1984,1,0.40482773963895247,1984-01-01
1984,2,0.40681413679125356,1984-02-01
1984,3,0.4076086956521739,1984-03-01
1984,4,0.4095950928044749,1984-04-01
1984,5,0.4107869310958556,1984-05-01
1984,6,0.4119787693872362,1984-06-01
1984,7,0.41356788710907705,1984-07-01
1984,8,0.4151570048309179,1984-08-01
1984,9,0.4171434019832189,1984-09-01
1984,10,0.41833524027459956,1984-10-01
1984,11,0.41833524027459956,1984-11-01
1984,12,0.41833524027459956,1984-12-01
1985,1,0.41912979913551995,1985-01-01
1985,2,0.42111619628782104,1985-02-01
1985,3,0.4227053140096619,1985-03-01
1985,4,0.4246917111619629,1985-04-01
1985,5,0.4262808288838037,1985-05-01
1985,6,0.42747266717518434,1985-06-01
1985,7,0.4282672260361048,1985-07-01
1985,8,0.4290617848970252,1985-08-01
1985,9,0.4302536231884058,1985-09-01
1985,10,0.43184274091024666,1985-10-01
1985,11,0.4330345792016273,1985-11-01
1985,12,0.4342264174930079,1985-12-01
1986,1,0.43541825578438853,1986-01-01
1986,2,0.4342264174930079,1986-02-01
1986,3,0.43224002034070685,1986-03-01
1986,4,0.4314454614797864,1986-04-01
1986,5,0.4326372997711671,1986-05-01
1986,6,0.43502097635392833,1986-06-01
1986,7,0.43502097635392833,1986-07-01
1986,8,0.4358155352148487,1986-08-01
1986,9,0.4378019323671498,1986-09-01
1986,10,0.43819921179760996,1986-10-01
1986,11,0.4385964912280702,1986-11-01
1986,12,0.4389937706585304,1986-12-01
1987,1,0.4417747266717519,1987-01-01
1987,2,0.44336384439359267,1987-02-01
1987,3,0.4453502415458937,1987-03-01
1987,4,0.447733918128655,1987-04-01
1987,5,0.4493230358504958,1987-05-01
1987,6,0.45091215357233666,1987-06-01
1987,7,0.45210399186371725,1987-07-01
1987,8,0.45448766844647853,1987-08-01
1987,9,0.45687134502923976,1987-09-01
1987,10,0.4580631833206204,1987-10-01
1987,11,0.45846046275108066,1987-11-01
1987,12,0.45846046275108066,1987-12-01
1988,1,0.45965230104246124,1988-01-01
1988,2,0.4608441393338419,1988-02-01
1988,3,0.4628305364861429,1988-03-01
1988,4,0.46521421306890415,1988-04-01
1988,5,0.466803330790745,1988-05-01
1988,6,0.468789727943046,1988-06-01
1988,7,0.4707761250953471,1988-07-01
1988,8,0.47276252224764814,1988-08-01
1988,9,0.47594075769132976,1988-09-01
1988,10,0.47752987541317066,1988-10-01
1988,11,0.47792715484363085,1988-11-01
1988,12,0.47872171370455124,1988-12-01
1989,1,0.4811053902873125,1989-01-01
1989,2,0.4830917874396135,1989-02-01
1989,3,0.485872743452835,1989-03-01
1989,4,0.48905097889651666,1989-04-01
